events	Hit Or Out?	bb_type	hc_x	hc_y	hit_distance_sc	launch_speed	launch_angle	pitch_name	if_fielding_alignment	of_fielding_alignment	adj_hc_x	adj_hc_y	spray_angle
field_out	0	ground_ball	155.87	133.33	115	101.3	7	Sinker	Infield shift	Standard	30.45	64.94	18.84121193
home_run	1	fly_ball	52.44	41.3	429	108.9	25	4-Seam Fastball	Standard	Standard	-72.98	156.97	-18.70133345
single	1	ground_ball	74.77	114.72	102	111	4	Changeup	Standard	Standard	-50.65	83.55	-23.41893113
field_out	0	fly_ball	119.15	100.41	255	85.8	47	Slider	Standard	Standard	-6.27	97.86	-2.749495444
field_out	0	line_drive	54.72	97.8	305	112.1	14	Sinker	Standard	Standard	-70.7	100.47	-26.35032695
double	1	ground_ball	194.85	117.25	17	100.7	-8	4-Seam Fastball	Infield shift	Standard	69.43	81.02	30.44616585
double	1	line_drive	87.86	73.23	290	107.9	13	Changeup	Standard	Standard	-37.56	125.04	-12.53956543
double	1	line_drive	44.87	125.47	225	92.4	14	Slider	Infield shift	Standard	-80.55	72.8	-35.91986385
field_out	0	line_drive	172.44	129.17	210	99.3	13	Changeup	Infield shift	Standard	47.02	69.1	25.67538152
home_run	1	fly_ball	209.64	77.17	361	95.8	28	4-Seam Fastball	Infield shift	Standard	84.22	121.1	26.11275211
field_out	0	popup	173.21	182.58	124	97.1	70	4-Seam Fastball	Infield shift	Standard	47.79	15.69	53.86830309
field_out	0	fly_ball	159.96	130.4	221	92.9	55	4-Seam Fastball	Infield shift	Standard	34.54	67.87	20.22913866
field_out	0	ground_ball	144.34	159.83	38	100.7	-1	Changeup	Infield shift	Standard	18.92	38.44	19.65465724
grounded_into_double_play	0	ground_ball	148.47	170.34	16	79.3	-4	Changeup	Infield shift	Standard	23.05	27.93	29.64906735
home_run	1	fly_ball	210.71	66.73	387	104.5	25	4-Seam Fastball	Infield shift	Standard	85.29	131.54	24.71940818
double	1	line_drive	203.55	106.42	298	100.6	17	4-Seam Fastball	Infield shift	Standard	78.13	91.85	30.28901517
field_out	0	ground_ball	105.95	168.88	12	97.8	-7	Changeup	Standard	Standard	-19.47	29.39	-25.14246581
field_out	0	popup	117.05	179.6	60	65.9	75	Changeup	Standard	Standard	-8.37	18.67	-18.11047819
