,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team
10,11,Apr 12,False,OAK,"L,5-9",39,33,5,7,1,1,0,5,5,0,6,0,0,1,0,1,0,0,0.228,0.306,0.387,0.693,7,18,R,C.Bassitt(54),ARI
11,12,Apr 13,False,OAK,"L,5-7",38,34,5,8,1,0,1,5,4,0,9,0,0,0,0,1,1,0,0.229,0.307,0.384,0.691,6,14,L,J.Luzardo(25),ARI
12,13,Apr 15,True,WSN,"W,11-6",49,37,11,8,0,0,4,11,7,0,4,5,0,0,1,0,1,0,0.228,0.316,0.397,0.713,11,15,L,P.Corbin(3),ARI
13,14,Apr 16,True,WSN,"L,0-1",32,30,0,3,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0.22,0.307,0.379,0.686,5,14,R,M.Scherzer(81),ARI
14,15,Apr 17,True,WSN,"L,2-6",37,34,2,5,0,0,2,2,3,0,13,0,0,0,2,0,0,1,0.215,0.301,0.375,0.677,8,16,R,E.Fedde(63),ARI
15,16,Apr 18,True,WSN,"W,5-2",43,35,5,11,2,0,2,4,7,1,7,0,0,1,0,0,0,1,0.221,0.309,0.386,0.695,11,15,R,P.Espino(47),ARI
16,17,Apr 20,True,CIN,"W,5-4",46,36,5,9,3,0,1,4,8,1,11,2,0,0,0,1,0,0,0.223,0.316,0.388,0.704,14,18,R,L.Castillo(41),ARI
17,18,Apr 21,True,CIN,"W,8-5",46,36,8,6,0,0,1,7,7,1,16,3,0,0,0,1,0,0,0.22,0.318,0.38,0.698,8,17,R,T.Mahle(77),ARI
18,19,Apr 22,True,CIN,"W,14-11",52,43,14,14,2,1,2,14,8,0,9,0,0,1,0,1,1,0,0.227,0.325,0.391,0.716,8,21,R,J.Hoffman(56),ARI
19,20,Apr 23,True,ATL,"L,4-5",35,32,4,5,2,0,1,3,3,0,7,0,0,0,0,0,0,0,0.223,0.321,0.388,0.709,4,14,R,H.Ynoa(64),ARI
20,21,Apr 25 (1),True,ATL,"W,5-0",31,27,5,8,1,1,2,5,3,0,7,0,1,0,0,0,0,1,0.226,0.323,0.396,0.719,5,9,R,B.Wilson(44),ARI
21,22,Apr 25 (2),True,ATL,"W,7-0",33,31,7,10,3,0,3,7,2,0,8,0,0,0,1,0,0,0,0.23,0.324,0.409,0.733,5,10,L,D.Smyly(30),ARI
22,23,Apr 27,False,SDP,"W,5-1",31,31,5,7,0,0,1,3,0,0,8,0,0,0,1,0,1,0,0.23,0.321,0.406,0.727,2,14,R,C.Paddack(45),ARI
23,24,Apr 28,False,SDP,"L,3-12",35,32,3,7,4,0,1,3,2,0,5,1,0,0,1,3,0,0,0.229,0.32,0.407,0.727,5,17,L,R.Weathers(52),ARI
24,25,Apr 29,False,COL,"W,5-3",40,37,5,12,2,2,1,5,3,0,6,0,0,0,1,0,1,0,0.234,0.322,0.414,0.736,11,18,R,A.Senzatela(36),ARI
25,26,Apr 30,False,COL,"W,7-2",38,35,7,12,1,1,1,6,3,0,5,0,0,0,2,3,0,0,0.238,0.325,0.418,0.742,7,13,R,J.Gray(36),ARI
26,27,May 1,False,COL,"L,6-14",38,34,6,10,2,0,2,5,1,0,8,0,1,2,0,1,1,0,0.24,0.324,0.422,0.745,5,16,L,A.Gomber(53),ARI
27,28,May 2,False,COL,"W,8-4",36,33,8,9,4,1,1,8,3,0,8,0,0,0,1,0,0,0,0.241,0.324,0.426,0.75,4,15,R,C.Gonzalez(38),ARI
